Songs,Lyrics
Blame Game,"[Produced by DJ Frank E, Kanye West & Mike Dean][Intro: Kanye West]Whose fault?[Chorus: John Legend]Let's play the blame game, I love you moreLet's play the blame game for sureLet's call out names, names, I hate you moreLet's call out names, names for sure[Bridge: John Legend]I'll call you bitch for shortAs a last resort and my first resortYou call me motherfucker for longAt the end of it, you know we both were wrong[Chorus: John Legend]But I love to play the blame game, I love you moreLet's play the blame game for sureLet's call out names, names, I hate you moreLet's call out names, names for sure[Verse 1: Kanye West]On the bathroom wall I wrote""I'd rather argue with you than to be with someone else""I took a piss and dismiss it like ""fuck it""And I went and found somebody elseFuck arguing and harvesting the feelingsYo, I'd rather be by my fuckin' self'Til about 2 a.m. and I call backAnd I hang up and I start to blame myselfSomebody help"
Lost In The World,"[Intro: Justin Vernon]I'm up in the woods, I'm down on my mindI'm building a still to slow down the timeI'm up in the woods, I'm down on my mindI'm building a still to slow down the timeI'm up in the woods, I'm down on my mindI'm building a still, down the time[Chorus: Kanye West & Justin Vernon]I'm lost in the world, been down my whole lifeI'm new in the city, and I'm down for the nightDown for the night, said she's down for the nightOoh, ooh, ooh, oohOoh, ooh, ooh (Slow down the time), oohI'm lost in the world, been down my whole lifeI'm new in the city, but I'm down for the nightDown for the night, down for the night[Verse: Kanye West]You're my devil, you're my angelYou're my heaven, you're my hellYou're my now, you're my foreverYou're my freedom, you're my jailYou're my lies, you're my truthYou're my war, you're my truceYou're my questions, you're my proofYou're my stress and you're my masseuseMa-ma-se, ma-ma-se, ma-ma-ku-saLost in this plastic lifeLet's break out of this fake-ass partyTurn this into a classic nightIf we die in each other's armsStill get laid in the afterlifeIf we die in each other's armsStill get laid, yeah, yeah, yeah"
Who Will Survive In America,"[Verse: Gil Scott-Heron]Us living as we do upside-downAnd the new word to have is revolutionPeople don't even want to hear the preacher spill or spielBecause God's whole card has been thoroughly piquedAnd America is now blood and tears instead of milk and honeyThe youngsters who were programmed to continue fucking up woke up one nightDigging Paul Revere and Nat Turner as the good guysAmerica stripped for bed and we had not all yet closed our eyesThe signs of truth were tattooed across our often-entered vaginaWe learned to our amazement, the untold tale of scandalTwo long centuries buried in the musty vaultHosed down daily with a gagging perfumeAmerica was a bastardThe illegitimate daughter of the mother countryWhose legs were then spread around the worldAnd a rapist known as freedom, free-doomDemocracy, liberty, and justice were revolutionary codenames that preceded the bubbling, bubbling, bubbling, bubbling, bubblingIn the mother country's crotchWhat does Webster say about soul?All I want is a good home and a wifeAnd a children, and some food to feed them every nightAfter all is said and done, build a new route to China if they'll have youWho will survive in America?Who will survive in America?Who will survive in America?Who will survive in America?"
Say You Will,"[Verse 1]Why would she make calls out the blue?Now I'm awake, sleep (Less in June) or (Missing you)[Chorus]Hey, hey, hey, heyDon't say you will, unless you willHey, hey, hey, heyDon't say you will, then play you will, I pray you will[Verse 2]Mrs. So Fly crash-lands in my roomCan't waste no time, she might leave soon[Chorus]Hey, hey, hey, heyDon't say you will, you doHey, hey, hey, heyDon't say you will, one day you will, I pray you will[Verse 3]When I grab your neck, I touch your soulTake off your cool then lose control[Chorus]Hey, hey, hey, heyDon't say you will, you will, you willHey, hey, hey, heyDon't say you will, if you will, I pray you will"
Welcome To Heartbreak,"[Verse 1: Kanye West]My friend showed me pictures of his kidsAnd all I could show him was pictures of my cribsHe said his daughter got a brand new report card, cardAnd all I got was a brand new sports car, oh[Chorus: Kid Cudi & Kanye West]And my head keeps spinningCan't stop having these visionsI gotta get with it (Ooh, ooh, oooh)And my head keeps spinningI can't stop having these visionsI gotta get with it (Ooh, ooh, oooh)[Verse 2: Kanye West]Dad cracked a joke, all the kids laughedBut I couldn't hear him all the way in first classChased the good life my whole life longLook back on my life and my life goneWhere did I go wrong?[Chorus: Kid Cudi & Kanye West]And my head keeps spinningCan't stop having these visionsI gotta get with it (Ooh, ooh, oooh)And my head keeps spinningI can't stop having these visionsI gotta get with it (Ooh, ooh, oooh)"
Heartless,"[Chorus]In the night, I hear 'em talkThe coldest story ever toldSomewhere far along this roadHe lost his soul to a woman so heartlessHow could you be so heartless?Oh, how could you be so heartless?[Verse 1]How could you be soCold as the winter wind when it breeze, yo?Just remember that you talkin' to me thoughYou need to watch the way you talkin' to me, yoI mean, after all the things that we been throughI mean, after all the things we got intoAyo, I know of some things that you ain't told meAyo, I did some things but that's the old meAnd now you wanna get me back and you gon' show meSo you walk around like you don't know meYou got a new friend, well, I got homiesBut in the end, it's still so lonely[Chorus]In the night, I hear 'em talkThe coldest story ever toldSomewhere far along this roadHe lost his soul to a woman so heartlessHow could you be so heartless?Oh, how could you be so heartless?"
Amazing,"[Verse 1: Kanye West]It's amazing, I'm the reasonEverybody fired up this eveningI'm exhausted, barely breathingHolding on to what I believe in[Pre-Chorus: Kanye West]No matter what, you'll never take that from meMy reign is as far as your eyes can see, it's amazing[Chorus: Kanye West]So amazing, so amazing, so amazing, it's amazingSo amazing, so amazing, so amazing, it's amazing[Verse 2: Kanye West]I'm a monster, I'm a killerI know I'm wrong, yeahI'm a problemThat'll never ever be solved[Pre-Chorus: Kanye West]And no matter what, you'll never take that from meMy reign is as far as your eyes can see, it's amazing[Chorus: Kanye West]So amazing, so amazing, so amazing, it's amazingSo amazing, so amazing, so amazing, it's amazing"
Love Lockdown,"[Verse 1]I'm not loving you, way I wanted toWhat I had to do, had to run from youI'm in love with you, but the vibe is wrongAnd that haunted me, all the way homeSo you never know, never, never knowNever know enough, 'til it's over love'Til we lose control, system overloadScreaming, ""No, no, no, n-nooo!""I'm not loving you, way I wanted toSee, I wanna move, but can't escape from youSo I keep it low, keep a secret codeSo everybody else don't have to know[Chorus]So keep your love lockdown, your love lockdownKeeping your love lockdown, your love lockdownNow keep your love lockdown, your love lockdownNow keep your love lockdown, you lose[Verse 2]I'm not loving you, way I wanted toI can't keep my cool, so I keep it trueI got something to lose, so I gotta moveI can't keep myself and still keep you tooSo I keep in mind, when I'm on my ownSomewhere far from home, in the danger zoneHow many times did I tell you 'fore it finally got through?You lose, you loseI'm not loving you, way I wanted toSee I had to go, see I had to moveNo more wasting time, you can't wait for lifeWe're just racin' time, where's the finish line?"
Paranoid,"[Intro: Kanye West]She really thought that? (Yeah)Yeah, she's so paranoid (Yeah, that's good, paranoid)Girls gonna love this song, ahahaWhy are you so paranoid? (Aha-ha-ha-ha-ha)Don't be so paranoid, don't be so[Refrain: Kanye West]Baby, don't worry 'bout itHey there, don't even think about itYou worry 'bout the wrong things, the wrong thingsYou worry 'bout the wrong things, the wrong thingsYou worry 'bout the wrong things, the wrong thingsYou worry 'bout the wrong things, the wrong things[Verse 1: Kanye West]Tell me right nowYou really wanna spend your whole life alone?A little time out might do you goodMight do us good 'fore we be done for good'Cause I could make it good, I could make it hoodI could make you come, I could make you goI could make you high, I can make you flyMake you touch the sky, hey, maybe soAll of the timeYou be up in mine checkin' through my cell phone, baby, noYou wanna kill the vibe on another nightHere's another fight, oh, here we go (Oh, here we go)"
RoboCop,"[Verse 1]'Bout the baddest girl I ever seenStraight up out a movie sceneWho knew she was a drama queenThat'd turn my life to Stephen King's?Up late night like she on patrolChecking everything like I'm on paroleI told her there's some things she don't need to knowShe never let it go, oh[Chorus]Okay, okay, okay, okayYou will never stop it nowYou never stop it nowOkay, okay, okayYou will never stop it nowYou need to drop it nowDrop it, drop it[Post-Chorus]'Cause I don't want no RoboCopYou moving like a RoboCopWhen did you become a RoboCop?Now, I don't need no RoboCop[Verse 2]Just looking at your historyYou're like the girl from MiseryShe said she ain't take it to this degreeWell, let's agree to disagree, haShorty kind of crazy, but it turn me onKeep it up enough to keep it going onI told her there's some things she don't need to knowShe never let it go, oh"
Street Lights,"[Intro]Let me knowDo I still got time to grow?Things ain't always set in stoneThat be known let me knowLet me[Chorus]Seems like street lights, glowing, happen to beJust like moments, passing, in front of meSo I hopped in the cab and I paid my fareSee, I know my destination, but I'm just not thereAll the street lights, glowing, happen to beJust like moments, passing, in front of meSo I hopped in the cab and I paid my fareSee, I know my destination, but I'm just not there[Refrain]In the streetsIn the streetsI'm just not there in the streetsI'm just not thereLife's just not fair[Chorus]Seems like street lights, glowing, happen to beJust like moments, passing, in front of meSo I hopped in the cab and I paid my fareSee, I know my destination, but I'm just not thereAll the street lights, glowing, happen to beJust like moments, passing, in front of meSo I hopped in the cab and I paid my fareSee, I know my destination, but I'm just not thereAll the street lights, glowing, happen to beJust like moments, passing, in front of meSo I hopped in the cab and I paid my fareSee, I know my destination, but I'm just not there"
Bad News,"[Verse 1]Didn't you know I was waiting on you?Waiting on a dream that'll never come trueDidn't you know I was waiting on you?My face turned to stone when I heard the newsWhen you decide to break the rules?'Cause I just heard some real bad news[Verse 2]People'll talk like it's old newsI played it off and act like I already knewLet me ask you how long have you known dudeYou played it off and act like he's brand newWhen you decide to break the rules?'Cause I just heard some real bad news[Refrain]Real bad newsReal bad newsReal bad news[Bridge]Oh, you just gon' keep another, no, you won'tOh, you just gon' keep it like you never knewOh, you just gon' keep another love for you"
See You In My Nightmares,"[Intro: Kanye West & Lil Wayne]I'm cold (Yeah)I'm cold (Yeah)I'm cold (Yeah, yeah)[Refrain: Lil Wayne]I got the right to put up a fightBut not quite, 'cause you cut off my lightBut my sight is better tonightAnd I might see you in my nightmareOoh, how did you get there?'Cause we were once a fairy taleBut this is farewell, yeah[Verse 1: Kanye West]I got my life and it's my only oneI got the night, I'm running from the sunSo good night, I'm headed out the doorDoor, door, door, doorAfter tonight, there will be no returnAfter tonight, I'm taking off on the roadI'm taking off on the roadAnd that, you know[Chorus: Kanye West]That you knowTell everybody that you knowThat I don't love you no moreAnd that's one thing that you know, that you know"
